filename,time_rel(sec)
xa.s12.00.mhz.1973-10-03HR03_evid00461,59767.84905660377
xa.s12.00.mhz.1973-03-12HR00_evid00384,74739.32075471699
xa.s12.00.mhz.1975-04-21HR00_evid00638,7569.962264150943
xa.s12.00.mhz.1971-03-15HR00_evid00073,28522.716981132075
xa.s12.00.mhz.1971-11-24HR00_evid00156,10122.264150943396
xa.s12.00.mhz.1974-06-30HR00_evid00543,63978.71698113208
xa.s12.00.mhz.1970-09-09HR00_evid00043,73408.0
xa.s12.00.mhz.1973-04-23HR00_evid00399,50355.92452830189
xa.s12.00.mhz.1971-01-03HR00_evid00057,39473.50943396227
xa.s12.00.mhz.1971-06-11HR00_evid00096,50000.75471698113
xa.s12.00.mhz.1970-05-25HR00_evid00029,44295.84905660377
xa.s12.00.mhz.1971-06-27HR00_evid00101,67926.03773584905
xa.s12.00.mhz.1973-11-22HR00_evid00475,50230.03773584906
xa.s12.00.mhz.1972-11-19HR00_evid00335,66009.6603773585
xa.s12.00.mhz.1969-12-16HR00_evid00006,1469.8867924528302
xa.s12.00.mhz.1970-03-14HR00_evid00018,62180.52830188679
xa.s12.00.mhz.1977-04-26HR00_evid00924,36979.77358490566
xa.s12.00.mhz.1972-12-15HR00_evid00349,25101.283018867925
xa.s12.00.mhz.1971-10-06HR00_evid00125,39066.71698113208
xa.s12.00.mhz.1972-02-28HR00_evid00192,45795.622641509435
xa.s12.00.mhz.1971-10-06HR00_evid00124,39066.71698113208
xa.s12.00.mhz.1974-03-14HR00_evid00506,27305.509433962263
xa.s12.00.mhz.1970-11-03HR00_evid00050,62332.377358490565
xa.s12.00.mhz.1975-06-15HR00_evid00660,14081.66037735849
xa.s12.00.mhz.1972-12-02HR00_evid00341,28910.943396226416
xa.s12.00.mhz.1970-07-17HR00_evid00035,18323.169811320753
xa.s12.00.mhz.1973-10-10HR00_evid00463,11244.377358490567
xa.s12.00.mhz.1971-01-17HR00_evid00060,64334.188679245286
xa.s12.00.mhz.1970-07-27HR00_evid00039,13330.264150943396
xa.s12.00.mhz.1972-12-06HR00_evid00342,51018.264150943396
xa.s12.00.mhz.1970-06-19HR00_evid00031,10016.301886792453
xa.s12.00.mhz.1977-04-11HR00_evid00915,48283.77358490566
xa.s12.00.mhz.1975-05-16HR00_evid00651,80328.75471698113
xa.s12.00.mhz.1970-02-18HR00_evid00016,43979.32075471698
xa.s12.00.mhz.1974-05-09HR00_evid00522,48760.0
xa.s12.00.mhz.1977-07-19HR00_evid00991,74665.96226415095
xa.s12.00.mhz.1971-04-08HR01_evid00083,27111.245283018867
xa.s12.00.mhz.1974-07-25HR05_evid00553,34826.71698113208
xa.s12.00.mhz.1973-08-08HR00_evid00437,61956.377358490565
xa.s12.00.mhz.1975-06-17HR00_evid00662,44265.35849056604
xa.s12.00.mhz.1974-10-02HR00_evid00572,48577.96226415094
xa.s12.00.mhz.1975-05-20HR00_evid00652,63130.41509433962
xa.s12.00.mhz.1970-11-03HR00_evid00051,62332.377358490565
xa.s12.00.mhz.1970-02-07HR00_evid00014,12477.88679245283
xa.s12.00.mhz.1971-10-26HR00_evid00133,16535.245283018867
xa.s12.00.mhz.1970-07-20HR00_evid00037,18266.867924528302
xa.s12.00.mhz.1970-05-23HR00_evid00027,47494.943396226416
xa.s12.00.mhz.1974-03-30HR00_evid00512,71328.15094339622
xa.s12.00.mhz.1970-07-18HR00_evid00036,2063.245283018868
xa.s12.00.mhz.1971-01-05HR00_evid00059,3126.3396226415093
xa.s12.00.mhz.1972-05-15HR00_evid00223,62272.15094339623
xa.s12.00.mhz.1971-05-22HR00_evid00092,64567.24528301887
xa.s12.00.mhz.1977-04-24HR00_evid00923,58542.03773584906
xa.s12.00.mhz.1970-10-26HR00_evid00049,18900.98113207547
xa.s12.00.mhz.1970-04-03HR00_evid00021,39046.943396226416
xa.s12.00.mhz.1970-05-24HR00_evid00028,16704.45283018868
xa.s12.00.mhz.1970-05-20HR00_evid00026,60805.58490566038
xa.s12.00.mhz.1977-09-13HR00_evid01012,74068.83018867925
xa.s12.00.mhz.1972-01-26HR00_evid00186,18737.811320754718
xa.s12.00.mhz.1972-02-21HR00_evid00190,75543.69811320755
xa.s12.00.mhz.1972-11-14HR00_evid00331,69969.35849056604
xa.s12.00.mhz.1972-05-19HR00_evid00228,70438.3396226415
xa.s12.00.mhz.1970-03-30HR00_evid00020,63791.698113207545
xa.s12.00.mhz.1970-01-09HR00_evid00007,7598.188679245283
