filename,time_rel(sec)
xa.s16.00.mhz.1975-03-26HR00_evid00186,2973.735849056604
xa.s16.00.mhz.1977-04-17HR00_evid00249,85142.18867924529
xa.s16.00.mhz.1974-12-15HR00_evid00172,34213.1320754717
xa.s16.00.mhz.1972-09-10HR00_evid00075,46489.811320754714
xa.s16.00.mhz.1972-11-14HR00_evid00081,63755.77358490566
xa.s16.00.mhz.1972-11-08HR00_evid00080,67404.22641509434
xa.s16.00.mhz.1974-11-11HR00_evid00160,60992.6037735849
xa.s16.00.mhz.1975-02-19HR00_evid00180,83582.7924528302
xa.s16.00.mhz.1977-06-02HR00_evid00255,52083.92452830189
xa.s16.00.mhz.1972-11-06HR00_evid00079,16081.207547169812
xa.s16.00.mhz.1974-12-12HR02_evid00168,55780.377358490565
xa.s16.00.mhz.1974-05-19HR00_evid00146,69451.77358490566
xa.s16.00.mhz.1973-07-31HR00_evid00123,35796.22641509434
xa.s16.00.mhz.1974-12-25HR00_evid00174,77189.43396226416
